site,name,url
gearvn,"Laptop gaming ASUS TUF Gaming FA608UMI-TU162W (Ryzen 7 260/ RTX 5060/ 16GB/ 512GB/ 16"" FHD 144Hz/ Win 11) 16 GB 512 GB 16 inch WUXGA (1920x1200) 144 Hz 51.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-tuf-gaming-fa608umi-tu162w-ryzen-7-260-rtx-5060-16gb-512gb-16-fhd-144hz-win-11
gearvn,"Laptop gaming ASUS TUF Gaming FA608UHI-TU121W (Ryzen 7 260/ RTX 5050/ 16GB/ 512GB/ 16"" WUXGA/ Win 11) 16 GB 512 GB 16 inch WUXGA (1920x1200) 144 Hz 48.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-tuf-gaming-fa608uhi-tu121w-ryzen-7-260-rtx-5050-16gb-512gb-16-wuxga-win-11
gearvn,"Laptop gaming ASUS TUF Gaming FA401UM-RG049W (Ryzen 7 260/ RTX 5060/ 32GB/ 512GB/ 14"" QHD/ Win 11) 32 GB 512 GB 14 inch 2K+ (2560x1600) 165 Hz 64.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-tuf-gaming-fa401um-rg049w-ryzen-7-260-rtx-5060-32gb-512gb-14-qhd-win-11
gearvn,"Laptop gaming ASUS ROG Zephyrus GU606AW-TB052WS (Ultra 9/ RTX 5080/ 32GB/ 1TB/ 16"" 2.5K OLED 240Hz/ Win 11) 139.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-gu606aw-tb052ws-ultra-9-rtx-5080-32gb-1tb-16-2-5k-oled-240hz-win-11
gearvn,"Laptop gaming ASUS ROG Zephyrus GU606AW-TB121W (Ultra 9/ RTX 5080/ 32GB/ 1TB/ 16"" 2.5K OLED 240Hz/ Win 11) 32 GB 1 GB 16 inch 2K+ (2560x1600) 240 Hz 124.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-gu606aw-tb121w-ultra-9-rtx-5080-32gb-1tb-16-2-5k-oled-240hz-win-11
gearvn,"Laptop gaming ASUS ROG Zephyrus GU606AX-TB042WS (Ultra 9/ RTX 5090/ 64GB/ 2TB/ 16"" 2.5K OLED 240Hz/ Win 11) 64 GB 2 GB 16 inch 2K+ (2560x1600) 240 Hz 169.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-gu606ax-tb042ws-ultra-9-rtx-5090-64gb-2tb-16-2-5k-oled-240hz-win-11
gearvn,"Laptop gaming ASUS ROG Zephyrus GU606AR-TB027W (Ultra 9/ RTX 5070 Ti/ 32GB/ 1TB/ 16"" 2.5K OLED 240Hz/ Win 11) 32 GB 1 GB 16 inch 2K+ (2560x1600) 240 Hz 99.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-gu606ar-tb027w-ultra-9-rtx-5070-ti-32gb-1tb-16-2-5k-oled-240hz-win-11
gearvn,"Laptop gaming ASUS ROG Zephyrus GU405AR-SY016W (Ultra 9/ RTX 5070 Ti/ 32GB/ 1TB/ 14"" 3K OLED 120Hz/ Win 11) 32 GB 1 GB 14 inch 3K (2880x1800) 120 Hz 96.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-gu405ar-sy016w-ultra-9-rtx-5070-ti-32gb-1tb-14-3k-oled-120hz-win-11
gearvn,"Laptop gaming ASUS ROG Zephyrus GU405AW-SY029W (Ultra 9/ RTX 5080/ 32GB/ 1TB/ 14"" 3K OLED 120Hz/ Win 11) 32 GB 1 GB 14 inch 3K (2880x1800) 120 Hz 119.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-gu405aw-sy029w-ultra-9-rtx-5080-32gb-1tb-14-3k-oled-120hz-win-11
gearvn,"Laptop gaming ASUS ROG Zephyrus GU605CP-QR141W (Ultra 7-255H/ RTX 5070/ 32GB/ 512GB/ 16"" 2.5K OLED 240Hz/ Win 11) 32 GB 512 GB 16 inch 2K+ (2560x1600) 240 Hz 83.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-gu605cp-qr141w-ultra-7-255h-rtx-5070-32gb-512gb-16-2-5k-oled-240hz-win-11
